N.Artist,M.Artist,N.Love,M.Love,N.Minister,M.Minister,N.Theory,M.Theory,N.Mentor,M.Mentor,N.Comedian,M.Comedian,N.Criminal,M.Criminal,N.Friend,M.Friend,N.Argument,M.Argument,N.Boyfriend,M.Boyfriend,N.Welder,M.Welder,N.Firefighter,M.Firefighter,N.Rustling,M.Rustling,N.Cousin,M.Cousin,N.Cashier,M.Cashier,N.Obituary,M.Obituary,N.Uncle,M.Uncle,N.Stroller,M.Stroller,N.Catalog,M.Catalog,N.Chair,M.Chair,N.Man,M.Man,N.Woman,M.Woman,ParticipantGender,Age,NativeEng,Political,Filter
6,5,5,6,5,7,5,7,5,6,5,7,6,6,6,5,5,7,6,5,5,7,5,6,5,6,6,5,5,7,6,5,5,7,5,7,5,6,5,6,5,6,6,5,1,28,1,2,1
3,3,5,1,5,2,5,3,4,4,3,4,6,6,6,3,1,4,3,5,3,3,4,3,5,3,1,1,4,4,1,1,3,3,1,1,4,2,1,1,3,3,1,1,1,25,1,1,1
6,7,3,6,5,1,6,3,6,7,6,5,6,7,7,7,6,4,7,7,1,3,5,2,1,1,1,1,3,6,1,2,7,5,2,2,1,1,5,5,1,7,1,6,1,31,1,2,1
4,6,7,4,6,5,7,6,6,5,7,5,7,7,7,5,6,4,4,7,4,3,5,5,2,3,7,5,4,3,2,5,3,6,4,3,1,1,1,1,7,6,5,4,1,21,1,2,1
4,4,4,4,1,1,4,4,4,4,4,4,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,1,1,1
6,4,4,2,5,4,4,5,3,5,4,3,6,4,5,5,5,2,6,3,6,4,4,3,4,2,4,2,4,3,5,5,3,4,4,6,6,5,5,3,2,3,4,5,2,36,1,2,1
5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,6,6,5,6,5,6,5,6,5,6,2,22,1,1,1
6,5,4,3,5,6,1,1,7,3,5,6,5,6,7,3,3,3,3,2,1,5,2,5,1,1,1,1,2,2,1,5,5,3,1,3,1,3,3,5,5,5,5,5,1,27,1,2,1
5,7,5,6,3,6,1,2,7,7,7,7,5,7,5,6,5,6,5,6,1,1,1,3,1,3,1,2,1,5,5,6,1,7,2,5,5,6,1,6,4,6,3,2,2,23,1,2,1
1,5,2,4,1,5,1,5,1,5,1,5,1,2,2,4,2,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,5,2,4,1,5,1,5,1,6,1,6,1,31,1,1,1
5,5,4,4,5,6,3,5,6,5,5,4,6,5,4,6,5,6,5,5,5,6,5,4,4,5,5,6,5,4,5,6,5,6,6,5,5,5,4,4,5,6,4,5,2,32,1,1,1
4,7,4,3,5,7,5,5,6,7,2,6,7,7,6,6,3,6,3,3,1,1,1,2,1,1,2,3,1,1,6,5,6,6,2,2,1,1,5,5,4,6,4,6,1,26,1,2,1
7,7,6,2,7,7,6,5,2,6,5,7,7,7,3,6,7,7,7,7,1,7,2,7,7,7,2,6,6,4,7,7,6,3,4,5,7,7,7,7,7,3,7,7,1,20,1,1,2
7,3,6,4,5,4,4,5,5,3,7,6,5,5,3,4,4,3,7,6,6,5,5,4,2,2,2,2,5,4,4,5,6,6,3,4,2,3,3,3,1,2,1,2,1,23,1,1,1
7,6,7,5,6,5,4,5,6,6,4,6,7,6,7,5,5,4,7,5,3,4,4,4,2,2,2,3,3,3,4,3,4,5,4,4,5,5,2,4,7,6,5,5,2,35,1,2,1
7,7,7,7,3,5,6,6,7,7,1,1,6,6,6,6,2,2,1,1,1,1,1,1,3,3,1,1,3,3,4,4,1,1,1,1,1,1,1,1,2,2,3,3,1,21,1,1,1
5,3,5,4,6,3,6,4,3,5,3,6,6,3,3,6,2,5,6,4,3,5,6,4,5,3,3,5,7,1,6,5,6,3,5,4,3,5,3,5,5,5,4,2,1,21,1,2,1
5,2,7,1,6,2,5,5,7,4,2,5,6,2,7,7,7,1,7,1,1,2,1,1,4,4,6,2,2,2,5,2,6,3,4,3,7,7,6,2,7,2,7,1,1,23,1,1,1
6,5,7,3,6,7,3,1,7,7,5,4,3,4,7,6,5,2,5,4,4,3,4,6,3,1,2,1,3,2,3,1,6,3,2,1,3,1,5,2,7,7,6,5,1,27,1,2,1
7,7,1,1,7,4,1,3,3,4,4,3,5,6,2,1,4,6,7,6,1,1,1,1,1,1,5,1,1,1,1,3,7,1,1,1,3,4,1,1,7,1,6,1,2,37,1,1,1
5,6,5,6,2,3,4,4,3,5,4,5,5,3,5,7,5,4,3,4,2,3,2,2,2,4,1,4,1,1,2,2,2,5,2,2,3,3,2,4,3,5,4,5,2,30,1,2,1
2,4,3,3,5,4,4,5,5,5,4,5,4,3,5,4,5,4,3,5,3,3,3,4,2,2,4,5,4,5,3,4,2,2,3,3,3,3,2,2,3,3,3,3,1,41,1,2,1
7,7,7,7,6,5,1,1,7,7,7,7,5,7,7,7,4,4,7,7,2,7,1,1,1,1,1,1,1,1,3,6,1,1,1,2,5,5,4,4,5,5,6,6,2,25,1,2,1
5,4,5,3,4,6,5,7,5,3,3,1,3,2,5,6,4,6,3,4,2,1,3,4,5,5,1,2,5,2,1,1,4,5,4,2,5,3,5,4,5,4,4,2,1,29,1,2,1
